acc,loss,val_acc,val_loss
0.738966701034,0.524386381595,0.747631649525,0.509580337284
0.76320378312,0.478028804992,0.77018971459,0.461086517204
0.774111861691,0.458713234811,0.779415764725,0.448976699137
0.782305288854,0.443025261745,0.785327361952,0.439912053992
0.790084405819,0.430109938756,0.785982831598,0.432965844974
0.796889587177,0.418380143923,0.792624105165,0.424794006863
0.802989825691,0.407817888795,0.791931532083,0.425979270676
0.809340504178,0.398289347764,0.798275988229,0.416690633971
0.814556471097,0.388531148333,0.79953745845,0.416059733017
0.81985591743,0.379051297058,0.799821907687,0.414385122139
0.824363848036,0.370570376937,0.797162925337,0.420221774006
0.829075841582,0.361985704779,0.806327139511,0.408719210109
0.834143399529,0.353425009129,0.807056814493,0.413699085512
0.838740993358,0.345519484185,0.805040933335,0.413466319377
0.843013943183,0.338138568628,0.808046202392,0.412886098884
0.846111985552,0.332518088774,0.807712284065,0.410948363533
0.850839438317,0.324190951852,0.809146898489,0.416669031177
0.85458986376,0.317482914517,0.802616932042,0.424965837364
0.857610610958,0.311109573388,0.809418979668,0.416721242193
0.861651670121,0.304437237305,0.81055677711,0.423968868076
